review_title,hotel_name,avg_rating,nationality,rating,review_text,tags
Superb,Hotel Made In Louise,9.2,Denmark,9.0,"Wonderful hotel, great breakfast, good service - what more do you want",['Leisure trip~Couple~Superior Double Room~Stayed 2 nights']
Fabulous,NH Brussels EU Berlaymont,8.5,Albania,8.8,There are no comments available for this review,['Business trip~Solo traveller~Standard Single Room New Style~Stayed 2 nights~Submitted via mobile']
Just wanted we wanted for a one night stop on the way to France,Motel One Brussels,8.9,United Kingdom,8.3,"Bit of noise from the lift. Only one room key given and my husband came back after me and couldn't get in without the key,

Very clean and modern room, very close to the center. Car park behind the hotel very reasonable.",['Leisure trip~Couple~Queen Room~Stayed 1 night']
Pleasant,Château Jemeppe,8.0,Belgium,6.0,"The room was super small, the bed very small so we couldnt get any sleep. The lights in the bathroom are very dark and the ledlight mirror was broke so no way to shave or put make up on in a proper way. ,

Great setting close ro the rover, modern rooms, very clean",['Leisure trip~Couple~Twin Room with Private Bathroom~Stayed 2 nights~Submitted via mobile']
Nice hotel in city center,Alliance Hotel Ieper Centrum,7.5,Belgium,8.0,"Everything was okay.,

Very friendly reception. 
Nice rooms with a joint terrace outside.
Great breakfast",['Leisure trip~Couple~Double or Twin Room~Stayed 1 night~Submitted via mobile']
Fabulous,Steigenberger Wiltcher's,8.7,United Kingdom,8.8,Excellent location and staff were very friendly,['Leisure trip~Couple~Superior Room~Stayed 2 nights~Submitted via mobile']
Good,Antwerp For Two B&B,8.5,Netherlands,7.0,There are no comments available for this review,['Business trip~Solo traveller~Double Room~Stayed 2 nights~Submitted via mobile']
Very good,Hotel Professor,7.4,United Kingdom,8.3,There are no comments available for this review,['Leisure trip~Couple~Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,Hotel Belfleur,8.3,United Kingdom,9.6,"The bed was very soft and it would be nice if they had family rooms with beds for children instead of a sofa bed. ,

Great modern room decor and easy to find location. Dinner and breakfast were superb and the staff were very friendly.",['Leisure trip~Family with young children~Junior Suite~Stayed 1 night~Submitted via mobile']
Passable,Chez Lola,7.8,Netherlands,5.0,"Bad was veel teklein, en ouderwetse tv.",['Leisure trip~Family with young children~Studio (2 Adults)~Stayed 5 nights~Submitted via mobile']
Superb,Hotel Adoma,7.7,United States,9.2,There are no comments available for this review,['Leisure trip~Family with young children~Double Room~Stayed 2 nights~Submitted via mobile']
Good,Hotel De Fierlant,8.2,Romania,7.9,There are no comments available for this review,['People with friends~Double or Twin Room~Stayed 3 nights~Submitted via mobile']
Good,Warwick Brussels - Grand Place,8.2,Russia,7.1,"Rooms, smell of wet carpets or something ,

Location",['Leisure trip~People with friends~Premium Queen Room~Stayed 1 night~Submitted via mobile']
Awesome,Hotel Koffieboontje,7.5,Belgium,10.0,Very nice place and friendly people.,['People with friends~Family Room~Stayed 1 night~Submitted via mobile']
Exceptional,la suite des Carmes,9.4,Germany,10.0,"Everything was perfect! ,

We had a wonderful weekend in this well equipped and lovely furnished apartment!
Great location, easy check in and check out. We felt welcome and would come back!",['Leisure trip~Couple~Apartment~Stayed 2 nights~Submitted via mobile']
Good,ibis Liège Centre Opéra,7.7,Germany,7.0,"Bad smell in the room, impossible to open the windows, also checked with the receptionist, no AC to get some fresh air during the night",['Leisure trip~Couple~Standard Double Room~Stayed 1 night~Submitted via mobile']
Perfect stay!,Hof Leskensdaele,9.3,Belgium,10.0,"Amazing breakfast, super friendly host, lovely family, perfect room.",['Business trip~Solo traveller~Standard Double or Twin Room~Stayed 3 nights']
Very good,Holiday Village Knokke,8.7,Belgium,8.0,There are no comments available for this review,['Leisure trip~Couple~One-Bedroom Cottage~Stayed 1 night~Submitted via mobile']
Exceptional,B&B Pronkenburg,8.6,Belgium,9.6,There are no comments available for this review,['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
Very good,Tourist Hotel,8.3,United Kingdom,8.3,There are no comments available for this review,['Business trip~Solo traveller~Standard Single Room~Stayed 1 night']
Exceptional,Novotel Mechelen Centrum,8.6,Switzerland,10.0,The best hotel in Mechelen,['Leisure trip~Family with young children~Deluxe Double Room~Stayed 1 night~Submitted via mobile']
Very enjoyable,Hotel New Regina,8.9,United Kingdom,10.0,Easy check in comfortable rooms helpful staff good food.,['Leisure trip~Couple~Budget Double Room~Stayed 2 nights~Submitted via mobile']
Brilliant,Hotel Royal,9.0,United Kingdom,9.0,"Ann the owner was so welcoming and was extremely helpful, and always smiling. A great stay",['Leisure trip~Couple~Superior Room~Stayed 1 night~Submitted via mobile']
Superb,Park Inn By Radisson Hasselt,8.5,Belgium,9.0,There are no comments available for this review,['Leisure trip~Couple~Standard Room~Stayed 2 nights~Submitted via mobile']
Trip to Brussels,Hotel Satellite,8.7,Cyprus,10.0,everything very good,['Business trip~Solo traveller~Superior Double Room with Terrace~Stayed 2 nights~Submitted via mobile']
Superb,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Cambodia,9.2,"room a bit small (in particular desk and dining table),

Nice staff, great location, good breakfast",['Business trip~Solo traveller~Studio (2 Adults)~Stayed 7 nights']
Superb,Jam Hotel,8.0,United Kingdom,9.2,"Paying for on-street parking outside was a bit of a faff as the hotel car park was full. The pillows were not very pleasant (one is a bag of cotton wool, the other a very thick memory foam). They're the only negatives here, everything else was great. ,

New, modern and slightly unique decoration in the building. Really nice. Staff are very friendly and helpful. Rooms are clean and presentable. Location is not bad, 10 mins walk from a busier high street, and not far from city center.",['Leisure trip~Solo traveller~Standard Double Room~Stayed 1 night~Submitted via mobile']
Superb,Hotel Monsieur Ernest,8.6,France,9.2,"Could have had a kettle in the room but not really a problem as the staff agreed to heat some water for our baby's bottle.,

Breakfast was amazing and the staff were all really good and helpful ! They made sure we had a nice stay, which we did. Wonderful location too.",['Leisure trip~Family with young children~Standard Double Room~Stayed 2 nights']
Good,Theater Hotel,8.4,Lithuania,7.5,All,['Business trip~Couple~Superior Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,B&B Exclusive Guesthouse Bonifacius,9.7,United Kingdom,9.6,There are no comments available for this review,['Leisure trip~Couple~Executive Suite~Stayed 2 nights~Submitted via mobile']
Exceptional,Van der Valk Hotel Antwerpen,8.4,Netherlands,10.0,There are no comments available for this review,['Leisure trip~Couple~Comfort Double Room~Stayed 2 nights~Submitted via mobile']
Good,Century Hotel Antwerpen Centrum,6.9,Germany,7.9,"Nothing special.,

Location: TopBathroom: OK",['Business trip~Solo traveller~Comfort Double~Stayed 4 nights']
Exceptional,Snuffel Hostel,8.8,Azerbaijan,9.6,There are no comments available for this review,['Leisure trip~People with friends~Bed in 6 bed mix dorm~Stayed 1 night~Submitted via mobile']
Great weekend,Citadines Sainte Catherine Brussels,8.4,Ireland,10.0,"Eggs were stone cold,

Great bed",['Leisure trip~Group~Studio (2 Adults)~Stayed 3 nights~Submitted via mobile']
Exceptional,B&B Ter Vesten,9.0,United Kingdom,10.0,"Weather,

Lovely friendly atmosphere, clean, fantastic breakfast.
Recommend",['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
Very good,Studio Rempart,8.7,Iceland,8.0,"A little narrow flat we got - but nice.We like a a small living room for comfort,

The charming Style and tasty decoration.",['Business trip~Family with young children~Studio~Stayed 4 nights~Submitted via mobile']
Superb,Cocoon Brussels,9.3,Belgium,9.0,There are no comments available for this review,['Leisure trip~Couple~One-Bedroom Apartment~Stayed 1 night~Submitted via mobile']
Pleasant,Novotel Brussels City Centre,8.5,United Kingdom,6.3,There are no comments available for this review,['Leisure trip~Couple~Superior Double Room~Stayed 2 nights']
Nice and clean apartment close to the national park,Au Marronnier,9.1,Belgium,9.0,"The apartment is nicely furnished, very clean and sanitized (covid rules are respected). The rooms are very well-equipped and comfortable. The owner is very helpful, he was reacting quickly to our messages and gave us good recommendations about where to eat, etc. Quiet location. Perfect for a 1-night stay close to the national park.",['Leisure trip~Family with young children~Apartment - Ground Floor~Stayed 1 night']
Good,Ilot Sacre Apartments,8.6,India,7.9,"Kitchen is Not well equipped.. more utensils would help.
No microwave..,

Location
Close to everything
Clean
Neatly designed",['Leisure trip~Family with young children~One-Bedroom Apartment~Stayed 3 nights~Submitted via mobile']
Exceptional,Vayamundo Oostende,8.1,United Kingdom,10.0,Close to beach and very quiet,['Leisure trip~Couple~Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,Le Pré-Chet,9.7,Germany,10.0,"-,

Everything was perfect",['Leisure trip~Family with young children~Studio Apartment~Stayed 3 nights~Submitted via mobile']
Exceptional,B&B Hippo-Droom,8.7,United Arab Emirates,10.0,"No thing the farm and place weather people parking everything was good no negative comments ,

Everything was perfect we booked the biggest accommodation. 
we like it and the location was good very close from the center,walibi ,Europe park
The stuff are good helpful smiling patient with children.
Room, towels, blankets were clean and new furniture good and new  
Breakfast was good english type but very good 
I recommend hotel to people really very very very gooooood
Thank you for the stuff for every thing",['Leisure trip~Family with young children~Suite with Garden View~Stayed 2 nights~Submitted via mobile']
Hotel,Logis Hostellerie De La Claire Fontaine,7.7,Belgium,7.0,"Good breakfast but without vegetables, old-fashioned,

Very nice place, garden, nice walk to the center La Roche, good breakfast, in every day the bedding was changed",['Leisure trip~Couple~Classic Double Room~Stayed 2 nights~Submitted via mobile']
"Nice place, but not spotlessly clean",Diamant Suites Brussels EU,7.8,Germany,7.5,"The room could have been cleaner. Not that it was outright dirty, but there were several spots in the bathroom that were missed in the cleaning process. The carpet in our room was old and had several stains. The furnishing seemed somewhat dated. In my opinion, the room could use a refurbishing, then it would be perfect.,

Good location, close to public transport and to the highway. It takes 10-15 minutes to drive to the city center.Excellent parking garage with key code access, cost is 15€ per day.They send you instructions to retrieve the access code to the room, which is quite straightforward - we arrived late at night, which was no problem. Staff was very friendly and helpful every time we interacted with them.Huge bathtub, albeit very low water pressure - took forever to fill up",['Leisure trip~Couple~Executive Studio Suite~Stayed 2 nights~Submitted via mobile']
Superb,Hygge Hotel,8.6,Canada,9.2,"Room lighting was not convenient at night: using the bathroom means lighting up the whole room.,

Comfortable, quiet, and stylish. The location was convenient to the metro and train stations, and we loved the freshness and choice at breakfast.",['Leisure trip~Family with young children~Cozy Twin Room~Stayed 2 nights']
Great find for Grand Prix weekend !,Hotel Vorsen,8.7,Ireland,10.0,"Nothing to not like ! Exactly what we needed! ,

Nice welcome when we arrived . Really nice hotel with good facilities . Host Dominique was really helpful and gave us good information on the area . Treated us to homemade chocolate paste for our breakfast. Lovely gardens and ground !  Would stay again for sure !",['Leisure trip~People with friends~Deluxe Double or Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,Maison d'Hôtes Cerf'titude,9.4,Belgium,10.0,There are no comments available for this review,['Leisure trip~Couple~Double Room with Garden View~Stayed 2 nights~Submitted via mobile']
Beautiful,B&B La Chabetaine,9.7,United Kingdom,10.0,We had such a pleasant stay here. Such a beautiful location and home. Thank you for making us so welcome!,['Leisure trip~Couple~Comfort Double Room with Balcony~Stayed 3 nights~Submitted via mobile']
Cosy/fun,Parkhotel,7.8,Netherlands,8.0,"There should be Railings on the stairs to rooms 15 and 16. Stairs outside are slippery when wet.,

Close ti city centre./clean/ friendly staff",['Leisure trip~Family with young children~Standard Double Room~Stayed 1 night~Submitted via mobile']
Exceptional,Hotel Astoria Gent,8.5,Australia,9.6,Exceptional service and excellent facilities! Super cute rooms and good quality breakfast. Loved that you could hire bikes easily for the day for a reasonable price!,['Business trip~Couple~Basic Room~Stayed 2 nights~Submitted via mobile']
Terrible,Hotel Montovani,7.6,United Kingdom,5.8,Uncomfortable bed and pillows alarm going off every five seconds until 3am,['Leisure trip~Group~Twin Room~Stayed 1 night~Submitted via mobile']
Clean. Comfortable. Quick booking and price as booking.com. Free parking. Decent breakfast.,Orbita Hotel,8.5,Russia,7.5,There are no comments available for this review,['Leisure trip~Solo traveller~Comfort Single Room~Stayed 1 night']
Superb,'t Gulpdal Hotel Voeren-Teuven,8.7,Belgium,9.0,There are no comments available for this review,['Leisure trip~Couple~Twin Room with Bathroom~Stayed 2 nights~Submitted via mobile']
Fabulous,NH Brussels EU Berlaymont,8.5,Italy,8.8,There are no comments available for this review,['Business trip~Solo traveller~Standard Double or Twin Room New Style~Stayed 1 night~Submitted via mobile']
Good,Hotel De Fierlant,8.2,France,7.1,There are no comments available for this review,['Business trip~Solo traveller~Double or Twin Room~Stayed 2 nights']
Good,Seaview Loft,8.9,Luxembourg,7.9,"There was a fire alarm beeping continuously, making sleeping very difficult (I expect the batteries to be close to out of power). ,

Great view and easy location/access to the beach.",['Leisure trip~Couple~Apartment~Stayed 1 night~Submitted via mobile']
Very clean and comfortable. Will stay again.,Hygge Hotel,8.6,Luxembourg,9.2,There are no comments available for this review,['Leisure trip~Solo traveller~Cozy Twin Room~Stayed 1 night~Submitted via mobile']
Wonderful,B&B Jadis et Naguère,9.6,United Kingdom,10.0,"Not applicable,

Lovely location and room. Breakfast was wonderful.Extremely friendly hosts.",['Leisure trip~Couple~Twin Room~Stayed 1 night~Submitted via mobile']
Superb,PREMIER SUITES PLUS Antwerp,8.4,Belgium,9.2,There are no comments available for this review,['Leisure trip~Family with young children~Executive Studio with Kitchen~Stayed 1 night~Submitted via mobile']
Exceptional,"Hotel Indigo Antwerp City Centre, an IHG Hotel",8.7,United Kingdom,10.0,There are no comments available for this review,['Business trip~Couple~Standard Queen Room~Stayed 1 night~Submitted via mobile']
Exceptional,Motel One Brussels,8.9,United States,9.6,"One cleaning routine there was a dry contact lens on the bed linen. This was obviously an accident. Everything else seemed to be very clean and orderly. ,

Clean stylish hotel with well designed suites. Excellent location and value.",['Solo traveller~Queen Room~Stayed 3 nights~Submitted via mobile']
Exceptional,Private House,9.4,Belgium,10.0,There are no comments available for this review,['Leisure trip~Couple~Apartment~Stayed 2 nights']
Very good place to stay In minsk,MinskLux Apartments,9.1,Mexico,9.2,Andrei my host was very atentive.,['Leisure trip~Solo traveller~Studio Apartment - on Bogdanovicha street 74~Stayed 3 nights~Submitted via mobile']
Good,Van der Valk Hotel Brussels Airport,8.1,Belgium,7.0,There are no comments available for this review,['Leisure trip~Couple~Superior King or Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,B&B La Chambre d'Amis,9.7,United Kingdom,10.0,"Nothing.,

Very quiet location but only a short walk to the centre of Ypres.
Owners where wonderful, very helpful.
Breakfast also fantastic.",['Leisure trip~People with friends~Standard Twin Room~Stayed 2 nights~Submitted via mobile']
"Beautiful hotel, nice staff and fantastic location.",Hotel Monsieur Ernest,8.6,United Kingdom,8.8,"When we were staying there, there was a large party of women (possibly a hen party) staying at the same time, they were obnoxiously loud, the walls are quite thin, they were very loud when they came back in after their night out and no one in the hotel told them to be more respectful of other guests. They were also incredibly loud at breakfast time again.,

The hotel was beautifully decorated for Christmas, they had made a lovely effort to make the hotel look seasonal and beautiful. The staff were also really friendly and helpful and gave us a map and some advice on where to get some drinks during our visit.",['Leisure trip~Couple~Standard Double Room~Stayed 1 night']
Fabulous,The Plaza Hotel Antwerp,8.4,United Arab Emirates,8.8,There are no comments available for this review,['Business trip~Solo traveller~Junior Suite~Stayed 6 nights~Submitted via mobile']
Great experience.,All In One,9.2,United Kingdom,10.0,"Nothing,

If you have to stay in Brussels, this is the place. Slightly quirky in a very comfy sort of way. Very tasteful. Very good, extremely friendly service but with complete privacy.",['Business trip~Solo traveller~Deluxe King Room~Stayed 3 nights~Submitted via mobile']
Amazing,Hotel Fevery,9.3,United Kingdom,10.0,There are no comments available for this review,['Leisure trip~Group~Standard Double Room with Balcony~Stayed 3 nights~Submitted via mobile']
Exceptional,EU Guesthouse,8.9,Nepal,10.0,"Nice neighborhood, Very nearby to Schuman area. Place is cozy and comfortable. Got all necessary basic amenities. Room was big enough and mattress was very comfortable.",['Business trip~Solo traveller~Double or Twin Room~Stayed 3 nights~Submitted via mobile']
Pleasant,Thon Hotel Brussels City Centre,8.3,Czech Republic,6.3,"the room was very cold, tried to put the air conditioning higher, but without success,

area, close to the city centre",['Business trip~Solo traveller~Standard Double Room~Stayed 2 nights']
Fabulous,Hotel Lodewijk Van Male,7.5,United States,8.8,"Nothing,

Old world charm",['Leisure trip~Couple~Double Room~Stayed 2 nights~Submitted via mobile']
Very good,T'Klein Gewin,9.3,United Kingdom,8.3,"Bedroom was located above the kitchen. When the extractor fan was on (most of the evening and early morning) vibrations and noise were awful in the room.  The smell wasn't great either. Although staff were polite they weren't very welcoming/friendly. They barely acknowledged us and didn't speak to the children once!,

Accomodation was clean and modern and location was great for our trip to Brugges.",['Family with young children~Apartment with Garden View~Stayed 2 nights~Submitted via mobile']
Fantastic !,Hotel Bourgoensch Hof,8.4,United Kingdom,10.0,"bar was closed at night,

Location  as it’s just few mins walk to the Belfry tower and restaurants and view Overlooking the river",['Leisure trip~Couple~Budget Room with River View~Stayed 1 night~Submitted via mobile']
Fabulous,Century Hotel Antwerpen Centrum,6.9,Turkey,8.8,"Rooms are old. Carpet surfaces and armchairs are not very clean.,

Location is superb. Bathroom is very clean.",['Leisure trip~Solo traveller~Comfort Twin~Stayed 2 nights~Submitted via mobile']
Superb,Hotel Koffieboontje,7.5,United Kingdom,9.2,There are no comments available for this review,['Leisure trip~Family with young children~Small Standard Double or Twin Room~Stayed 2 nights~Submitted via mobile']
Great time and very helpful and friendly staff!,Hotel Lido,8.1,Netherlands,8.0,Very good price value and great location!,['Leisure trip~Family with young children~Double Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Renaissance Brussels Hotel,8.2,Belgium,10.0,There are no comments available for this review,"['Business trip~Solo traveller~Deluxe Room', ' Guest room', ' 1 Queen~Stayed 1 night~Submitted via mobile']"
"Convenient, modern hotel","Radisson Blu Hotel, Bruges",8.5,United Kingdom,9.6,"There was a 15 minute delay with checking in owing to a computer problem. However, this was only a very minor point and could happen at any hotel. ,

The location was brilliant, located just 5 minutes away from Bruges train station, yet also within easy walking distance of the attractions in the city centre. 
The hotel is very modern (only around a year old) and, as a result, is very high spec. The champagne at breakfast was great too!",['Leisure trip~Couple~Standard Room~Stayed 1 night~Submitted via mobile']
A very nice and pleasant place,Le Florentin,9.1,Belgium,9.0,The comfort of the room,['Leisure trip~Group~Double Room~Stayed 1 night']
Superb,Aparthotel Trilogie,9.1,United Kingdom,9.2,"The bathroom was light on toiletries. We couldn’t figure out the heating.,

The hotel was well located. The room was spacious and comfortable. The staff were friendly and helpful. The breakfast was tasty and substantial. The food in the restaurant was excellent.",['Leisure trip~Couple~Apartment 4~Stayed 2 nights~Submitted via mobile']
Great location and nice bedrooms.,Het Rustpunt,8.2,Belgium,7.0,"During Covid, we can't go to restaurant, we had to order online, we didn't receive any ustensiles to eat, neither from the restaurant neither from the hotel. Also no kettle, no fridge in the room... During Covid these would have been handy.,

The location is great, really in the center and close to most of the historic points.",['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
Exceptional,NEW Design apartment in Brussels,8.7,New Zealand,9.6,"The property was clean
 Very true to the photos. The host responded very quickly and was lovely and extremely helpful. Highly recommend",['Leisure trip~Family with young children~Two-Bedroom Apartment~Stayed 4 nights~Submitted via mobile']
"Everything was enough, i enjoyed my stay.",Jam Hotel,8.0,Luxembourg,8.8,"My other colleagues talked about your delicious break first - a bit annoyed to not have access to it but anyway, next time :D,

Everything was enough, i enjoyed my stay.",['Business trip~Solo traveller~Standard Double Room~Stayed 1 night']
Beautiful lake setting half an hour walk from Ypres,Vijverhuis,9.1,Belgium,9.0,It's a really beautiful location by the lake and within walking/cycling/driving distance of Ypres. We rented bikes from the property which were modern and comfortable and cycled around the lake. The only things around are farms and nature. Breakfast was good and the owners were really friendly and helpful. We left a phone charger in the room and the owner came to find us in Ypres to give it back. Would definitely recommend.,['Leisure trip~Couple~Standard Double Room with Shower~Stayed 1 night~Submitted via mobile']
Exceptional,Hotel Le Châtelain,8.9,Croatia,10.0,There are no comments available for this review,['Business trip~Solo traveller~Superior Double or Twin Room~Stayed 1 night~Submitted via mobile']
Superb,Rooms & Apartments Housingbrussels,9.0,Netherlands,9.2,There are no comments available for this review,['Business trip~Solo traveller~Double Room~Stayed 1 night~Submitted via mobile']
Superb,Steigenberger Wiltcher's,8.7,Netherlands,9.0,There are no comments available for this review,['Business trip~Couple~Superior Room~Stayed 1 night~Submitted via mobile']
Excellent experience and definitely value for your money.,Charmehotel Klokkenhof,8.3,United Arab Emirates,10.0,"Nothing appeared to dislike.,

Just everything. Is a lovely hotel with Charme as the name of the hotel. Great location, Free parking, Free Internet and playground if traveling with children. Breakfast was excellent served by 2 hard working women (Nadine & one more) pleasing everybody by running around if training for the olimpic games. Great experience.",['Leisure trip~Family with young children~Standard Twin Room~Stayed 3 nights']
Good,Best Western Plus Park Hotel Brussels,8.1,United Kingdom,7.5,There are no comments available for this review,['Business trip~Solo traveller~Mini Double Room with Double Bed - Non-Smoking~Stayed 1 night~Submitted via mobile']
Exceptional,Pillows Grand Boutique Hotel Place Rouppe Brussels,9.0,Ireland,10.0,There are no comments available for this review,['Leisure trip~Solo traveller~Luxury Room~Stayed 3 nights~Submitted via mobile']
Superb,Victoria & SPA Minsk,8.6,Latvia,9.0,"Great hotel, good location. Always chose this hotel, when travel to Minsk.",['Business trip~Solo traveller~Standard Double Room with Aquazone access~Stayed 2 nights']
Exceptional,Castelsuites,9.8,Belgium,10.0,There are no comments available for this review,['Leisure trip~Couple~Executive Suite~Stayed 1 night~Submitted via mobile']
DO NOT BOOK THIS APARTMENT!,Vosseslag Beach - De Haan,7.3,Belgium,2.0,"Tso mych noise from all neighbors above, next to and around the apartment! I did not sleep at all, even with ear plugs in!
The apartment was nit clean!
Not a single supermarjet around!,

Free parking",['Leisure trip~Family with young children~One-Bedroom Apartment~Stayed 2 nights~Submitted via mobile']
perfect,Motel One Brussels,8.9,Romania,10.0,"Pillows were to hard!! but still, this depends of taste. i fully recommend the hotel.,

Very clean rooms, nice people. interior view of the hotel was nice, well decorated. close to the city center and to Central train station.",['Leisure trip~Family with young children~Standard Double Room~Stayed 1 night']
"Great hotel, friendly staff everything was very clea. Main attractions within walking distance.",Hygge Hotel,8.6,Netherlands,9.6,"Great hotel, friendly staff, everything was very clean. Main attractions within walking distance. Would stay again.",['Business trip~Solo traveller~Superior Twin Room~Stayed 1 night']
Something new in traveling,Hotel Brouwerij Het Anker,8.6,Russia,10.0,"The air refresher works inside the room very loud.it is disturbing ,

Design. Room. Bathroom. Location. Breakfast are great.",['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
"Very enjoyable , practical and definitely repeatable.",Smartflats Design - Antwerp Central,7.1,Netherlands,7.0,"The master bedroom window was at at inner air duct and the vents were quite noisy.The chair in the dining/kitchen were really old, used and torn. The appartement was not updated for a few years, but was clean.,

easy and safe access ; description to enter was good. Location in the center and garage parking within 100m was perfect. The beds were all Cocomat brand with different hardness - perfect to try. Building first floor is a good hamburger place and we were hungry - super in Corona times.",['Business trip~Group~Two-Bedroom Apartment~Stayed 1 night']
Exceptional,La Roseraie. Gaume-Ardenne-lacuisine sur Semois.,8.8,Luxembourg,10.0,Breakfast only served from 8am - 9.30 am,['']
Fabulous,Hotel Gasthof 't Zweerd,7.7,Canada,8.8,There are no comments available for this review,['Leisure trip~Couple~Family Room (2 Adults + 2 Children)~Stayed 1 night~Submitted via mobile']
Good,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Romania,7.1,"It is not specified that the accommodation has rooms on semi-basement, the price being the same regardless of the floor. I get such a room with relatively high humidity for 5 days of accommodation. Carpet on the floor does not help against mold. The windows had only a simple opening system. Good luck we use the camera just for sleep; bad luck that after a day with the closed window, in the evening was a pretty unpleasant smell in the room.,

Close to the center of the city , the subway and the Central, Shuman and Luxembourg railway station. The staff was very friendly",['Leisure trip~Couple~Studio (2 Adults)~Stayed 5 nights~Submitted via mobile']
Fabulous,Charlie Rockets Youth Hostel,7.3,Morocco,8.8,There are no comments available for this review,['Leisure trip~Solo traveller~Bed in 6-Bed Mixed Dormitory Room~Stayed 1 night~Submitted via mobile']
Very comfortable and pleasant.,Hotel ABBEY,7.7,United Kingdom,3.3,"Good restaurant, comfortable bed, good breakfast.",['Business trip~Solo traveller~Standard Twin Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Hotel Eden Ardenne,7.8,Germany,9.6,"Location was okay, 10-15 minute walk from the town center.,

Spacious rooms, great for people traveling with dogs",['Leisure trip~Couple~Double or Twin Room~Stayed 3 nights~Submitted via mobile']
Passable,Steigenberger Wiltcher's,8.7,Turkey,5.5,"Rooms were cold, there was problem with air condition. And they didnt solve problem in three days. We got sick because of cold.",['Leisure trip~Couple~Superior Room~Stayed 3 nights~Submitted via mobile']
Very good,Hotel Burg Hof,8.8,Belgium,8.0,There are no comments available for this review,['Leisure trip~Couple~Double Room~Stayed 2 nights']
Exceptional,Snuffel Hostel,8.8,Spain,10.0,There are no comments available for this review,['Leisure trip~Solo traveller~Bed in 4 Bed Female Dorm~Stayed 1 night~Submitted via mobile']
Very good,Flatcom Hostel,8.5,Vietnam,8.0,There are no comments available for this review,['Leisure trip~Solo traveller~Bed in 6-Bed Mixed Dormitory Room~Stayed 1 night~Submitted via mobile']
Fabulous,DOMITYS L'Ecrin Vert,9.0,Bulgaria,8.8,Far from the central part of Brussels.,['Business trip~People with friends~Apartment~Stayed 2 nights~Submitted via mobile']
Good location,Place 2 stay,8.9,Netherlands,8.0,"The apartment was quite noisy, located near a bar and right at the street side. Also heard some other people coming home at another apartment in the building quite late at night.
No private parking, but parking garage nearby.,

Nice location, room was good; didn’t use any of the kitchen equipment, but it seemed quite complete. The bed was also nice.",['Leisure trip~Couple~Studio (2 Adults)~Stayed 1 night~Submitted via mobile']
Good,Best Western Plus Park Hotel Brussels,8.1,Luxembourg,7.5,There are no comments available for this review,['Business trip~Solo traveller~Mini Single Room with Single Bed - Non-Smoking~Stayed 1 night~Submitted via mobile']
Very good,Hotel Professor,7.4,Turkey,8.3,There are no comments available for this review,['Business trip~Group~Twin Room~Stayed 4 nights']
Pleasant,Le Coin Vert,8.8,Germany,6.3,"The day is arrival he told us to pay 80 euros more in cash , of course he said also we were free to cancel , so at the end it was more money that what we pay with the card in the day of booking ... this was the only thing we didn’t felt comfortable doing, and well , it was easier to pay than to start looking another place . Besides this everything was nice .,

We Spoke with the host just by telephone, he’s really nice , the place is nice a well for a big family , we were 10 in total . 
Everything was clean .",['Leisure trip~Family with young children~Deluxe Villa~Stayed 1 night~Submitted via mobile']
Very recommended place to stay!,Résidence18,9.1,Lithuania,9.6,Easy to reach with public transport. Good choice of restaurants near including food shops. Quiet and nice location around. Very cosy apartments style. Had feeling like at home!😀,['Business trip~Solo traveller~Double Room with Garden View~Stayed 2 nights~Submitted via mobile']
Comfortable and easy,Warwick Brussels - Grand Place,8.2,Malaysia,8.3,"The property itself is decent and location excellent, but the rooms give off a dark vibe that I personally do not like.",['Leisure trip~Family with young children~Classic Queen Room~Stayed 3 nights']
Good,Hotel De Fierlant,8.2,Germany,7.1,"The breakfast included was sufficient but monotonous. The towels were clean but had a strange smell.,

Very friendly staff at the reception was always helping us with our questions concerning events and the best way to get there. Room was clean and bed okay.",['Leisure trip~Couple~Special Offer - Double or Twin Room~Stayed 3 nights']
O.K.,ibis De Panne,7.9,United Kingdom,9.0,Dogs in the hotel .It was like living in a dog kennel there were that many dogs walk through the reception and in the dinning area.,['Leisure trip~Family with young children~Standard Room with One Double Bed or Two Separate Beds~Stayed 2 nights~Submitted via mobile']
Exceptional,Motel One Brussels,8.9,United States,9.6,There are no comments available for this review,['Leisure trip~Family with young children~Queen Room~Stayed 3 nights~Submitted via mobile']
Very good,ibis Gent Centrum St. Baafs Kathedraal,8.2,Netherlands,8.3,There are no comments available for this review,['Leisure trip~Couple~Standard Double Room~Stayed 1 night~Submitted via mobile']
